,Tweet_ID,Sentiment_Label,Logits_Neutral,Logits_Positive,Logits_Negative,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
0,1353493039612907521,positive,1.2675691843032837,4.436732292175293,-0.9218547940254213,en,NO,NO,93,4,,Mon Jan 25 00:01:01 +0000 2021
1,1353493684323409920,positive,1.115265727043152,1.369662880897522,0.44046494364738464,en,NO,NO,70,6,,Mon Jan 25 00:03:35 +0000 2021
2,1353493698567434240,negative,0.5994586348533629,0.0703517496585846,1.5586249828338623,en,NO,NO,49,3,,Mon Jan 25 00:03:39 +0000 2021
3,1353493806054780929,negative,1.1744849681854248,-0.7355027198791504,2.216182231903076,en,NO,NO,103,7,,Mon Jan 25 00:04:04 +0000 2021
4,1353493911822454784,negative,1.1816349029541016,0.4834738969802856,2.0449552536010738,en,NO,NO,51,6,,Mon Jan 25 00:04:29 +0000 2021
5,1353493917254250497,neutral,2.6063661575317383,-0.7810249924659729,1.1620995998382568,en,NO,NO,150,36,,Mon Jan 25 00:04:31 +0000 2021
6,1353494286025728000,neutral,1.1826376914978027,0.24681568145751956,1.167343258857727,en,NO,NO,295,10,,Mon Jan 25 00:05:59 +0000 2021
7,1353494405601255427,neutral,1.269298076629639,0.8239296078681946,0.7735548615455627,en,NO,NO,54,6,,Mon Jan 25 00:06:27 +0000 2021
8,1353494548874489858,negative,0.40493085980415344,-0.5645139813423157,1.5109046697616575,en,NO,NO,117,8,,Mon Jan 25 00:07:01 +0000 2021
9,1353494590595231750,neutral,1.7708230018615725,0.979132354259491,0.056770790368318565,en,NO,NO,103,10,,Mon Jan 25 00:07:11 +0000 2021
10,1353494670240866311,negative,1.6305240392684937,-0.41353216767311096,2.0772020816802983,en,NO,NO,55,27,,Mon Jan 25 00:07:30 +0000 2021
11,1353494812113199104,neutral,1.6019169092178345,0.8231074810028076,0.10078907757997513,en,NO,NO,162,12,,Mon Jan 25 00:08:04 +0000 2021
12,1353494922100436992,negative,0.8363699913024902,0.034072145819663995,1.370022892951965,en,NO,NO,51,4,,Mon Jan 25 00:08:30 +0000 2021
13,1353494977674764288,neutral,1.3564664125442505,0.6523544192314148,0.8225523829460144,en,NO,NO,133,14,,Mon Jan 25 00:08:44 +0000 2021
14,1353495001200799753,negative,1.3441193103790283,-0.4550371468067169,1.7722872495651243,en,NO,NO,98,33,,Mon Jan 25 00:08:49 +0000 2021
15,1353495142204891136,negative,1.4514505863189695,-0.657189130783081,1.6252343654632568,en,NO,NO,40,4,,Mon Jan 25 00:09:23 +0000 2021
16,1353495175364939776,positive,0.4105734825134277,1.5490621328353882,0.7718169093132019,en,NO,NO,32,9,,Mon Jan 25 00:09:31 +0000 2021
17,1353495322841018369,negative,1.175420165061951,-0.29777923226356506,1.3264824151992798,en,NO,NO,279,141,,Mon Jan 25 00:10:06 +0000 2021
18,1353495364431654914,positive,0.7557471394538879,1.0570056438446045,-0.2405425161123276,en,NO,NO,39,8,,Mon Jan 25 00:10:16 +0000 2021
19,1353495566353891328,negative,1.027371168136597,0.7181781530380249,1.6520296335220337,en,NO,NO,67,6,,Mon Jan 25 00:11:04 +0000 2021
20,1353496514245570562,neutral,1.362725853919983,0.5602201819419861,0.49851393699646,en,NO,NO,99,36,,Mon Jan 25 00:14:50 +0000 2021
21,1353496520872452096,negative,0.34539106488227844,0.3300827443599701,1.7556523084640503,en,NO,NO,34,14,,Mon Jan 25 00:14:51 +0000 2021
22,1353496948431589379,negative,0.9136981964111328,-0.5854020118713379,2.465266704559326,en,NO,NO,34,7,,Mon Jan 25 00:16:33 +0000 2021
23,1353497121517953025,negative,1.1795353889465332,0.2424089908599853,1.3781538009643557,en,NO,NO,155,21,,Mon Jan 25 00:17:15 +0000 2021
24,1353497484371382279,positive,0.5391259789466858,2.202177762985229,0.7292418479919434,en,NO,NO,31,5,,Mon Jan 25 00:18:41 +0000 2021
25,1353497507242905601,negative,0.7527646422386169,-0.10687216371297836,1.8960793018341064,en,NO,NO,49,14,,Mon Jan 25 00:18:47 +0000 2021
26,1353497615640367105,neutral,1.8127598762512207,-0.13007473945617676,0.7588601112365723,en,NO,NO,129,42,,Mon Jan 25 00:19:12 +0000 2021
27,1353497909988352000,neutral,1.1733413934707642,0.060196023434400565,0.8362916111946106,en,NO,NO,65,9,,Mon Jan 25 00:20:23 +0000 2021
28,1353498089961746437,neutral,1.4500404596328735,0.3467027842998505,1.2098212242126465,en,NO,NO,594,183,,Mon Jan 25 00:21:06 +0000 2021
29,1353498655471378435,negative,0.4788496494293213,-1.63408625125885,6.0414137840271,en,NO,NO,73,21,,Mon Jan 25 00:23:20 +0000 2021
30,1353498722487955456,positive,1.9069672822952268,3.0423429012298584,-0.6021489500999451,en,NO,NO,118,27,,Mon Jan 25 00:23:36 +0000 2021
31,1353498768444952581,neutral,0.6165774464607239,-0.16720035672187805,0.3970535397529602,en,NO,NO,62,3,,Mon Jan 25 00:23:47 +0000 2021
32,1353498930911313923,neutral,2.060455799102783,-0.8636569976806641,1.5811302661895752,en,NO,NO,2950,315,,Mon Jan 25 00:24:26 +0000 2021
33,1353498952763658241,negative,1.3908395767211914,-1.2430357933044434,3.1820659637451167,en,NO,NO,4046,1942,,Mon Jan 25 00:24:31 +0000 2021
34,1353499622296195072,negative,0.8707069754600525,-0.3668260872364044,1.2651268243789673,en,NO,NO,33,5,,Mon Jan 25 00:27:11 +0000 2021
35,1353499702935887873,neutral,1.6889241933822632,0.5512819886207581,0.3508225977420807,en,NO,NO,30,7,,Mon Jan 25 00:27:30 +0000 2021
36,1353499712855400452,neutral,1.7174057960510254,-0.12792128324508667,0.8667572140693665,en,NO,NO,75,16,,Mon Jan 25 00:27:33 +0000 2021
37,1353499855424020481,negative,1.2810448408126829,1.0386720895767212,1.2909809350967407,en,NO,NO,41,10,,Mon Jan 25 00:28:07 +0000 2021
38,1353499996314869761,negative,0.39627838134765625,0.8989726901054382,2.0134103298187256,en,NO,NO,453,90,,Mon Jan 25 00:28:40 +0000 2021
39,1353500221578342400,neutral,2.311518669128418,0.9273036122322084,0.10340067744255066,en,NO,NO,150,17,,Mon Jan 25 00:29:34 +0000 2021
40,1353500601833943043,neutral,1.4906607866287231,-0.078533835709095,0.7269093990325928,en,NO,NO,88,21,,Mon Jan 25 00:31:04 +0000 2021
41,1353500768540606466,neutral,1.8078176975250244,1.0468562841415403,0.8944336771965027,en,NO,NO,30,6,,Mon Jan 25 00:31:44 +0000 2021
42,1353500774270177280,negative,1.5410466194152832,-0.9790398478507996,2.1385304927825928,en,NO,NO,100,26,,Mon Jan 25 00:31:46 +0000 2021
43,1353500831648247809,positive,0.9935044050216676,1.305213451385498,0.6722057461738586,en,NO,NO,48,13,,Mon Jan 25 00:31:59 +0000 2021
44,1353501021515952128,neutral,1.4151809215545654,1.3784801959991455,0.3115949332714081,en,NO,NO,111,53,,Mon Jan 25 00:32:45 +0000 2021
45,1353501470184804352,neutral,2.1810874938964844,1.2023800611495972,-0.4488339424133301,en,NO,NO,52,30,,Mon Jan 25 00:34:31 +0000 2021
46,1353501620126896129,neutral,2.1374623775482178,1.0848286151885986,0.6299077868461609,en,NO,NO,6500,6082,,Mon Jan 25 00:35:07 +0000 2021
47,1353502089553584128,positive,0.5968339443206787,2.224613666534424,-0.1007399633526802,en,NO,NO,2000,132,,Mon Jan 25 00:36:59 +0000 2021
48,1353502404466106370,positive,0.3591026067733765,1.8726714849472048,0.4180780649185181,en,NO,NO,3618,1063,,Mon Jan 25 00:38:14 +0000 2021
49,1353502455405961219,positive,1.0105854272842407,1.2562601566314695,0.5785702466964722,en,NO,NO,54,20,,Mon Jan 25 00:38:26 +0000 2021
50,1353502656527028225,positive,0.22923506796360016,4.045910358428955,-0.2615508437156677,en,NO,NO,66,17,,Mon Jan 25 00:39:14 +0000 2021
51,1353502869819957248,negative,1.2610366344451904,-0.990062177181244,2.8523244857788086,en,NO,NO,48,18,,Mon Jan 25 00:40:05 +0000 2021
52,1353503105669853184,negative,1.2605221271514893,-0.05312412232160568,1.9027531147003172,en,NO,NO,62,13,,Mon Jan 25 00:41:01 +0000 2021
53,1353503127287209984,negative,0.7831291556358337,-1.2911784648895264,3.85347318649292,en,NO,NO,62,5,,Mon Jan 25 00:41:07 +0000 2021
54,1353503226444787713,neutral,2.0221014022827153,0.3210571706295013,0.5112743973731995,en,NO,NO,58,42,,Mon Jan 25 00:41:30 +0000 2021
55,1353503252495663109,negative,0.1720389574766159,-0.3246164917945862,2.057055711746216,en,NO,NO,4565,382,,Mon Jan 25 00:41:36 +0000 2021
56,1353503902839279616,neutral,0.8680456876754761,0.5703174471855164,0.3504590690135956,en,NO,NO,40,3,,Mon Jan 25 00:44:11 +0000 2021
57,1353504207916175360,negative,1.5454028844833374,-0.3784728646278381,1.8124746084213257,en,NO,NO,129,40,,Mon Jan 25 00:45:24 +0000 2021
58,1353504708485394432,negative,0.3317754566669464,-0.43987902998924255,2.6810567378997803,en,NO,NO,429,38,,Mon Jan 25 00:47:24 +0000 2021
59,1353504858737942530,neutral,3.09224534034729,1.9230475425720213,-0.8220410346984863,en,NO,NO,36,11,,Mon Jan 25 00:47:59 +0000 2021
60,1353505974586404866,neutral,2.5171990394592285,2.074363470077514,-0.851088285446167,en,NO,NO,34,9,,Mon Jan 25 00:52:25 +0000 2021
61,1353506003090771969,neutral,0.7703021168708801,0.03468833863735199,0.3029539287090301,en,NO,NO,44,4,,Mon Jan 25 00:52:32 +0000 2021
62,1353506214639005697,neutral,2.046358823776245,0.17442522943019867,0.3661934435367584,en,NO,NO,33,6,,Mon Jan 25 00:53:23 +0000 2021
